epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.14926,0.6917,0.88654,1,0.30911,0.000469624,0.000469624,0.000469624
2,9.65404,0.37026,0.84433,1,0.38221,0.000914741,0.000914741,0.000914741
3,13.9523,0.36922,0.84697,1,0.32273,0.00132842,0.00132842,0.00132842
4,18.1826,0.32196,0.8971,1,0.26859,0.00128753,0.00128753,0.00128753
5,22.4801,0.26884,0.89446,1,0.29519,0.00124037,0.00124037,0.00124037
6,26.6501,0.25119,0.8971,1,0.32297,0.00119322,0.00119322,0.00119322
7,30.8788,0.22466,0.89446,1,0.35492,0.00114606,0.00114606,0.00114606
8,35.1681,0.20378,0.92876,1,0.24177,0.0010989,0.0010989,0.0010989
9,39.5654,0.19123,0.90765,1,0.22337,0.00105174,0.00105174,0.00105174
10,43.9415,0.16688,0.91557,1,0.29999,0.00100459,0.00100459,0.00100459
11,48.2736,0.15627,0.92348,1,0.28275,0.00095743,0.00095743,0.00095743
12,52.6343,0.13713,0.91821,1,0.29524,0.000910273,0.000910273,0.000910273
13,56.9018,0.14678,0.92876,1,0.28438,0.000863116,0.000863116,0.000863116
14,61.128,0.14015,0.93404,1,0.24827,0.000815959,0.000815959,0.000815959
15,65.36,0.12886,0.92348,1,0.22919,0.000768802,0.000768802,0.000768802
16,69.6457,0.11418,0.93404,1,0.25118,0.000721645,0.000721645,0.000721645
17,73.8352,0.12259,0.92612,1,0.25842,0.000674488,0.000674488,0.000674488
18,78.0505,0.1245,0.94723,1,0.23002,0.000627331,0.000627331,0.000627331
19,82.4096,0.11559,0.93668,1,0.27729,0.000580174,0.000580174,0.000580174
20,86.7198,0.08855,0.93668,1,0.2981,0.000533017,0.000533017,0.000533017
21,100.845,0.08499,0.94459,1,0.26162,0.00048586,0.00048586,0.00048586
22,105.119,0.08086,0.94723,1,0.26211,0.000438703,0.000438703,0.000438703
23,109.392,0.07808,0.95251,1,0.24124,0.000391546,0.000391546,0.000391546
24,113.568,0.08681,0.94987,1,0.24988,0.000344389,0.000344389,0.000344389
25,117.78,0.08324,0.93668,1,0.28821,0.000297232,0.000297232,0.000297232
26,121.995,0.06693,0.94459,1,0.26266,0.000250075,0.000250075,0.000250075
27,126.28,0.06002,0.94987,1,0.27241,0.000202918,0.000202918,0.000202918
28,130.535,0.06952,0.94723,1,0.2629,0.000155761,0.000155761,0.000155761
29,134.842,0.05596,0.94987,1,0.26981,0.000108604,0.000108604,0.000108604
30,139.081,0.05681,0.94987,1,0.24957,6.1447e-05,6.1447e-05,6.1447e-05
