epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.2288,1.505,2.23801,1.70156,0.80283,0.35686,0.36049,0.15867,1.82349,9.8523,2.074,0.00030233,0.00030233,0.00030233
2,144.008,1.44316,1.62785,1.62516,0.80439,0.38694,0.4523,0.22006,1.68828,12.9872,1.83932,0.000593344,0.000593344,0.000593344
3,211.309,1.44502,1.48898,1.62431,0.77548,0.44248,0.46328,0.25248,1.48942,4.96112,1.73939,0.00087236,0.00087236,0.00087236
4,278.596,1.43669,1.39465,1.61509,0.773,0.44044,0.456,0.27164,1.38587,5.24028,1.62273,0.000855005,0.000855005,0.000855005
5,345.202,1.39548,1.29527,1.58246,0.77581,0.41054,0.44085,0.24042,1.49739,7.10391,1.69691,0.000837007,0.000837007,0.000837007
6,411.847,1.36116,1.24583,1.56925,0.81138,0.46197,0.53377,0.33123,1.2906,4.28644,1.54315,0.000819009,0.000819009,0.000819009
7,478.828,1.34044,1.18791,1.54769,0.84255,0.45694,0.59674,0.33788,1.28494,7.8358,1.51642,0.000801011,0.000801011,0.000801011
8,545.647,1.33184,1.13938,1.5349,0.80043,0.46889,0.52616,0.31185,1.37454,5.13628,1.58687,0.000783013,0.000783013,0.000783013
9,612.541,1.29787,1.09608,1.5082,0.83746,0.49982,0.53855,0.33115,1.31065,3.69422,1.53897,0.000765014,0.000765014,0.000765014
10,679.423,1.29901,1.08996,1.51362,0.78995,0.50167,0.52237,0.3336,1.2328,10.07,1.48253,0.000747016,0.000747016,0.000747016
11,747.147,1.28464,1.04607,1.4932,0.80889,0.48518,0.53024,0.33687,1.19672,3.32436,1.43926,0.000729018,0.000729018,0.000729018
12,814.131,1.28081,1.04741,1.49191,0.79252,0.49913,0.58539,0.38499,1.18329,3.58602,1.43968,0.00071102,0.00071102,0.00071102
13,881.09,1.25728,1.01169,1.481,0.8113,0.52789,0.54345,0.34901,1.15844,4.08962,1.42135,0.000693022,0.000693022,0.000693022
14,947.92,1.25394,0.99794,1.47414,0.84541,0.49824,0.6196,0.43811,1.13551,6.2947,1.4181,0.000675023,0.000675023,0.000675023
15,1014.81,1.24392,0.97199,1.46202,0.85757,0.45825,0.54052,0.36698,1.07257,4.27746,1.38169,0.000657025,0.000657025,0.000657025
16,1081.37,1.22607,0.96127,1.46683,0.88054,0.52029,0.65152,0.4465,1.11541,5.22673,1.39683,0.000639027,0.000639027,0.000639027
17,1148.1,1.22123,0.95333,1.44791,0.86699,0.51561,0.57126,0.39096,1.07729,3.67826,1.37469,0.000621029,0.000621029,0.000621029
18,1214.95,1.21258,0.92334,1.4429,0.87216,0.51723,0.59556,0.40617,1.09703,3.90443,1.39511,0.000603031,0.000603031,0.000603031
19,1281.83,1.20582,0.9154,1.43021,0.87955,0.51364,0.60608,0.41964,1.0638,5.46835,1.37421,0.000585032,0.000585032,0.000585032
20,1348.46,1.21114,0.91518,1.44707,0.8592,0.54611,0.68271,0.46199,1.10022,3.41527,1.37244,0.000567034,0.000567034,0.000567034
21,1415.25,1.18967,0.89861,1.43294,0.85028,0.55563,0.61569,0.42849,1.06116,2.98712,1.35093,0.000549036,0.000549036,0.000549036
22,1481.78,1.17996,0.89173,1.42925,0.87136,0.51976,0.61002,0.41521,1.0723,5.12339,1.37947,0.000531038,0.000531038,0.000531038
23,1548.57,1.17717,0.86707,1.41629,0.85998,0.54227,0.63723,0.43995,1.0519,4.47841,1.35099,0.00051304,0.00051304,0.00051304
24,1615.16,1.17305,0.86584,1.41096,0.88654,0.52669,0.71832,0.5319,1.04898,4.53064,1.35694,0.000495041,0.000495041,0.000495041
25,1682.04,1.16148,0.85459,1.39889,0.87552,0.53889,0.67929,0.47021,1.0453,4.9358,1.35209,0.000477043,0.000477043,0.000477043
26,1748.68,1.14995,0.84604,1.3929,0.81664,0.52262,0.68258,0.47959,1.0199,4.97654,1.32966,0.000459045,0.000459045,0.000459045
27,1815.26,1.14616,0.82776,1.39417,0.83915,0.55235,0.69957,0.49957,1.00065,3.7744,1.32375,0.000441047,0.000441047,0.000441047
28,1882.19,1.15104,0.82336,1.3894,0.84865,0.57019,0.6023,0.42116,0.99005,3.79551,1.30765,0.000423049,0.000423049,0.000423049
29,1948.8,1.13358,0.809,1.38401,0.85347,0.55207,0.73484,0.52094,1.00564,4.09631,1.31282,0.00040505,0.00040505,0.00040505
30,2015.25,1.13055,0.80777,1.38639,0.89656,0.52394,0.64436,0.42163,1.01516,3.54324,1.30775,0.000387052,0.000387052,0.000387052
31,2082.03,1.12298,0.79494,1.37333,0.86526,0.56447,0.69622,0.48491,1.0003,3.59197,1.31832,0.000369054,0.000369054,0.000369054
32,2148.65,1.10725,0.7814,1.37135,0.89169,0.4745,0.68317,0.49909,0.98603,4.71335,1.30876,0.000351056,0.000351056,0.000351056
33,2215.35,1.12056,0.78323,1.37504,0.85004,0.55148,0.66903,0.47668,0.98257,3.94428,1.29856,0.000333058,0.000333058,0.000333058
34,2282.13,1.11069,0.78392,1.36561,0.84598,0.55789,0.69679,0.49969,0.97872,3.05144,1.29633,0.000315059,0.000315059,0.000315059
